run,trades,ending_r,max_drawdown_r,min_equity_r,max_equity_r
519,153,63.0,8.0,1.0,68.0
520,153,63.0,13.0,1.0,65.0
521,153,63.0,11.0,-1.0,65.0
522,153,63.0,12.0,-3.0,68.0
523,153,63.0,9.0,-4.0,71.0
524,153,63.0,11.0,-4.0,65.0
525,153,63.0,9.0,-2.0,64.0
526,153,63.0,10.0,1.0,64.0
527,153,63.0,10.0,3.0,72.0
528,153,63.0,13.0,1.0,65.0
529,153,63.0,18.0,1.0,64.0
530,153,63.0,10.0,0.0,64.0
531,153,63.0,14.0,-8.0,63.0
532,153,63.0,13.0,-1.0,67.0
533,153,63.0,7.0,-4.0,65.0
534,153,63.0,11.0,-6.0,65.0
535,153,63.0,8.0,-2.0,63.0
536,153,63.0,12.0,-4.0,64.0
537,153,63.0,15.0,-2.0,65.0
538,153,63.0,15.0,-2.0,63.0
539,153,63.0,16.0,3.0,64.0
540,153,63.0,10.0,-1.0,64.0
541,153,63.0,6.0,-5.0,66.0
542,153,63.0,12.0,-1.0,68.0
543,153,63.0,8.0,-2.0,67.0
544,153,63.0,10.0,-2.0,65.0
545,153,63.0,11.0,-1.0,67.0
546,153,63.0,9.0,-2.0,63.0
547,153,63.0,13.0,-3.0,64.0
548,153,63.0,9.0,2.0,64.0
549,153,63.0,8.0,-6.0,68.0
550,153,63.0,12.0,-6.0,63.0
551,153,63.0,10.0,0.0,68.0
552,153,63.0,12.0,-9.0,63.0
553,153,63.0,13.0,-3.0,63.0
554,153,63.0,9.0,-1.0,66.0
555,153,63.0,8.0,-2.0,64.0
556,153,63.0,8.0,3.0,65.0
557,153,63.0,13.0,-2.0,64.0
558,153,63.0,14.0,-5.0,63.0
559,153,63.0,11.0,-1.0,69.0
560,153,63.0,12.0,-3.0,64.0
561,153,63.0,11.0,-5.0,64.0
562,153,63.0,11.0,-1.0,70.0
563,153,63.0,13.0,2.0,67.0
564,153,63.0,13.0,-4.0,67.0
565,153,63.0,17.0,-1.0,67.0
566,153,63.0,11.0,-5.0,63.0
567,153,63.0,11.0,-2.0,64.0
568,153,63.0,7.0,-6.0,66.0
569,153,63.0,12.0,-9.0,63.0
570,153,63.0,14.0,2.0,67.0
571,153,63.0,22.0,-1.0,69.0
572,153,63.0,18.0,3.0,65.0
573,153,63.0,9.0,-8.0,68.0
574,153,63.0,14.0,-1.0,66.0
575,153,63.0,21.0,-1.0,63.0
576,153,63.0,10.0,2.0,65.0
577,153,63.0,9.0,-5.0,63.0
578,153,63.0,9.0,-4.0,68.0
579,153,63.0,11.0,3.0,63.0
580,153,63.0,10.0,-1.0,66.0
581,153,63.0,22.0,-1.0,63.0
582,153,63.0,14.0,-5.0,66.0
583,153,63.0,9.0,0.0,63.0
584,153,63.0,18.0,0.0,64.0
585,153,63.0,14.0,-6.0,64.0
586,153,63.0,7.0,-4.0,64.0
587,153,63.0,12.0,-3.0,68.0
588,153,63.0,12.0,-1.0,64.0
589,153,63.0,12.0,-3.0,67.0
590,153,63.0,9.0,-4.0,63.0
591,153,63.0,14.0,3.0,71.0
592,153,63.0,15.0,-6.0,67.0
593,153,63.0,8.0,-2.0,63.0
594,153,63.0,11.0,-2.0,65.0
595,153,63.0,11.0,-4.0,68.0
596,153,63.0,16.0,-1.0,65.0
597,153,63.0,12.0,3.0,63.0
598,153,63.0,10.0,-2.0,67.0
599,153,63.0,12.0,-1.0,64.0
600,153,63.0,16.0,-3.0,64.0
601,153,63.0,10.0,-4.0,63.0
602,153,63.0,11.0,-1.0,70.0
603,153,63.0,11.0,-7.0,70.0
604,153,63.0,11.0,-6.0,68.0
605,153,63.0,13.0,-5.0,64.0
606,153,63.0,11.0,-8.0,69.0
607,153,63.0,17.0,-14.0,63.0
608,153,63.0,16.0,1.0,65.0
609,153,63.0,18.0,2.0,68.0
610,153,63.0,21.0,0.0,78.0
611,153,63.0,7.0,-1.0,67.0
612,153,63.0,13.0,-2.0,64.0
613,153,63.0,11.0,-2.0,65.0
614,153,63.0,14.0,-4.0,69.0
615,153,63.0,15.0,-6.0,69.0
616,153,63.0,10.0,2.0,64.0
617,153,63.0,24.0,0.0,81.0
618,153,63.0,10.0,2.0,65.0
619,153,63.0,8.0,-1.0,67.0
620,153,63.0,7.0,-2.0,68.0
621,153,63.0,21.0,3.0,77.0
622,153,63.0,12.0,-7.0,63.0
623,153,63.0,22.0,-2.0,65.0
624,153,63.0,14.0,-2.0,65.0
625,153,63.0,16.0,-1.0,63.0
626,153,63.0,12.0,-7.0,63.0
627,153,63.0,17.0,-4.0,64.0
628,153,63.0,12.0,-3.0,65.0
629,153,63.0,18.0,-7.0,67.0
630,153,63.0,9.0,2.0,67.0
631,153,63.0,12.0,2.0,66.0
632,153,63.0,17.0,-6.0,63.0
633,153,63.0,15.0,0.0,63.0
634,153,63.0,14.0,-3.0,64.0
635,153,63.0,19.0,2.0,66.0
636,153,63.0,17.0,-8.0,67.0
637,153,63.0,10.0,-4.0,65.0
638,153,63.0,12.0,-2.0,66.0
639,153,63.0,17.0,3.0,71.0
640,153,63.0,10.0,-1.0,65.0
641,153,63.0,13.0,3.0,68.0
642,153,63.0,20.0,-1.0,63.0
643,153,63.0,18.0,-3.0,65.0
644,153,63.0,14.0,-2.0,77.0
645,153,63.0,11.0,-5.0,63.0
646,153,63.0,15.0,-3.0,66.0
647,153,63.0,8.0,-2.0,64.0
648,153,63.0,11.0,-1.0,63.0
649,153,63.0,14.0,-1.0,72.0
650,153,63.0,12.0,-1.0,64.0
651,153,63.0,12.0,-1.0,65.0
652,153,63.0,13.0,3.0,64.0
653,153,63.0,13.0,-7.0,71.0
654,153,63.0,24.0,-2.0,63.0
655,153,63.0,14.0,3.0,70.0
656,153,63.0,11.0,-8.0,64.0
657,153,63.0,15.0,-2.0,64.0
658,153,63.0,10.0,-1.0,63.0
659,153,63.0,12.0,-2.0,68.0
660,153,63.0,11.0,0.0,63.0
661,153,63.0,11.0,-3.0,65.0
662,153,63.0,12.0,-2.0,73.0
663,153,63.0,10.0,0.0,64.0
664,153,63.0,10.0,-4.0,65.0
