run,trades,ending_r,max_drawdown_r,min_equity_r,max_equity_r
575,21,21.0,6.0,4.0,25.0
576,21,21.0,4.0,-5.0,23.0
577,21,21.0,8.0,3.0,22.0
578,21,21.0,9.0,5.0,30.0
579,21,21.0,6.0,-1.0,21.0
580,21,21.0,7.0,-3.0,24.0
581,21,21.0,4.0,5.0,22.0
582,21,21.0,6.0,-1.0,21.0
583,21,21.0,8.0,5.0,24.0
584,21,21.0,5.0,-3.0,21.0
585,21,21.0,6.0,0.0,27.0
586,21,21.0,4.0,-1.0,21.0
587,21,21.0,10.0,-2.0,22.0
588,21,21.0,5.0,5.0,21.0
589,21,21.0,4.0,-1.0,23.0
590,21,21.0,6.0,5.0,24.0
591,21,21.0,4.0,-4.0,23.0
592,21,21.0,6.0,5.0,27.0
593,21,21.0,5.0,-1.0,22.0
594,21,21.0,5.0,5.0,26.0
595,21,21.0,7.0,3.0,25.0
596,21,21.0,5.0,-4.0,22.0
597,21,21.0,5.0,-1.0,22.0
598,21,21.0,6.0,-1.0,24.0
599,21,21.0,6.0,-1.0,27.0
600,21,21.0,4.0,-2.0,24.0
601,21,21.0,3.0,-2.0,22.0
602,21,21.0,5.0,5.0,24.0
603,21,21.0,5.0,5.0,26.0
604,21,21.0,3.0,-3.0,23.0
605,21,21.0,8.0,-6.0,21.0
606,21,21.0,4.0,-1.0,23.0
607,21,21.0,9.0,3.0,21.0
608,21,21.0,4.0,-2.0,21.0
609,21,21.0,4.0,-4.0,21.0
610,21,21.0,7.0,-4.0,21.0
611,21,21.0,5.0,-1.0,23.0
612,21,21.0,5.0,-1.0,21.0
613,21,21.0,5.0,-4.0,23.0
614,21,21.0,7.0,5.0,26.0
615,21,21.0,5.0,-6.0,21.0
616,21,21.0,5.0,4.0,23.0
617,21,21.0,4.0,-1.0,25.0
618,21,21.0,4.0,-2.0,23.0
619,21,21.0,6.0,5.0,24.0
620,21,21.0,4.0,-2.0,24.0
621,21,21.0,8.0,-1.0,23.0
622,21,21.0,12.0,5.0,23.0
623,21,21.0,3.0,-2.0,24.0
624,21,21.0,5.0,-2.0,26.0
625,21,21.0,5.0,3.0,21.0
626,21,21.0,4.0,-1.0,25.0
627,21,21.0,6.0,-2.0,22.0
628,21,21.0,6.0,5.0,21.0
629,21,21.0,5.0,-1.0,23.0
630,21,21.0,6.0,-3.0,22.0
631,21,21.0,6.0,-7.0,22.0
632,21,21.0,4.0,-1.0,25.0
633,21,21.0,4.0,-1.0,22.0
634,21,21.0,5.0,-2.0,22.0
635,21,21.0,5.0,-6.0,22.0
636,21,21.0,4.0,-4.0,22.0
637,21,21.0,7.0,0.0,28.0
638,21,21.0,3.0,-1.0,23.0
639,21,21.0,4.0,-3.0,25.0
640,21,21.0,5.0,-1.0,21.0
641,21,21.0,10.0,-5.0,21.0
642,21,21.0,7.0,2.0,22.0
643,21,21.0,5.0,4.0,21.0
644,21,21.0,4.0,-5.0,21.0
645,21,21.0,3.0,-2.0,22.0
646,21,21.0,7.0,-1.0,21.0
647,21,21.0,8.0,-3.0,21.0
648,21,21.0,3.0,-1.0,21.0
649,21,21.0,5.0,2.0,21.0
650,21,21.0,4.0,-2.0,21.0
651,21,21.0,7.0,5.0,23.0
652,21,21.0,5.0,-1.0,26.0
653,21,21.0,4.0,-1.0,24.0
654,21,21.0,7.0,3.0,24.0
655,21,21.0,5.0,-1.0,26.0
656,21,21.0,4.0,-3.0,21.0
657,21,21.0,6.0,5.0,23.0
658,21,21.0,5.0,2.0,21.0
659,21,21.0,7.0,5.0,21.0
660,21,21.0,7.0,-1.0,21.0
661,21,21.0,6.0,5.0,27.0
662,21,21.0,6.0,4.0,24.0
663,21,21.0,7.0,-8.0,21.0
664,21,21.0,10.0,4.0,21.0
665,21,21.0,7.0,5.0,28.0
666,21,21.0,4.0,-1.0,21.0
